       Time_s           01           02           03           04           05
   0.0000E+00   8.0000E+01   3.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00
   5.0000E-09   8.0000E+01   3.0000E+02   1.5012E+04   3.9976E+01   7.9954E+05
   1.0000E-08   8.0000E+01   3.0000E+02   1.5035E+04   2.5849E+01   5.1700E+05
   1.5000E-08   8.0000E+01   3.0000E+02   1.5056E+04   1.7048E+01   3.4098E+05
   2.0000E-08   8.0000E+01   3.0000E+02   1.5056E+04   1.1516E+01   2.3033E+05
   2.5000E-08   8.0000E+01   3.0000E+02   1.5078E+04   8.0075E+00   1.6016E+05
   3.0000E-08   8.0000E+01   3.0000E+02   1.5078E+04   5.7515E+00   1.1504E+05
   3.5000E-08   8.0000E+01   3.0000E+02   1.5078E+04   4.2847E+00   8.5700E+04
   4.0000E-08   8.0000E+01   3.0000E+02   1.5078E+04   3.3181E+00   6.6368E+04
   4.5000E-08   8.0000E+01   3.0000E+02   1.5078E+04   2.6725E+00   5.3455E+04
   5.0000E-08   8.0000E+01   3.0000E+02   1.5099E+04   2.2365E+00   4.4734E+04
   5.5000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.9358E+00   3.8720E+04
   6.0000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.7273E+00   3.4548E+04
   6.5000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.5809E+00   3.1621E+04
   7.0000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.4770E+00   2.9542E+04
   7.5000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.4025E+00   2.8052E+04
   8.0000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.3485E+00   2.6973E+04
   8.5000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.3091E+00   2.6185E+04
   9.0000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.2802E+00   2.5606E+04
   9.5000E-08   8.0000E+01   3.0000E+02   1.5099E+04   1.2588E+00   2.5179E+04
   1.0000E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2430E+00   2.4863E+04
   1.0500E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2314E+00   2.4630E+04
   1.1000E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2229E+00   2.4460E+04
   1.1500E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2167E+00   2.4337E+04
   1.2000E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2125E+00   2.4253E+04
   1.2500E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2098E+00   2.4198E+04
   1.3000E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2082E+00   2.4167E+04
   1.3500E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2077E+00   2.4156E+04
   1.4000E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2080E+00   2.4162E+04
   1.4500E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2089E+00   2.4181E+04
   1.5000E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2105E+00   2.4213E+04
   1.5500E-07   8.0000E+01   3.0000E+02   1.5099E+04   1.2127E+00   2.4256E+04
   1.6000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2159E+00   2.4321E+04
   1.6500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2185E+00   2.4372E+04
   1.7000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2216E+00   2.4435E+04
   1.7500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2253E+00   2.4509E+04
   1.8000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2294E+00   2.4590E+04
   1.8500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2338E+00   2.4679E+04
   1.9000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2386E+00   2.4774E+04
   1.9500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2436E+00   2.4875E+04
   2.0000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2489E+00   2.4981E+04
   2.0500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2545E+00   2.5092E+04
   2.1000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2602E+00   2.5208E+04
   2.1500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2662E+00   2.5328E+04
   2.2000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2725E+00   2.5452E+04
   2.2500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2789E+00   2.5580E+04
   2.3000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2855E+00   2.5712E+04
   2.3500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2922E+00   2.5848E+04
   2.4000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.2992E+00   2.5986E+04
   2.4500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3063E+00   2.6129E+04
   2.5000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3135E+00   2.6274E+04
   2.5500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3209E+00   2.6422E+04
   2.6000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3285E+00   2.6573E+04
   2.6500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3362E+00   2.6727E+04
   2.7000E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3440E+00   2.6884E+04
   2.7500E-07   8.0000E+01   3.0000E+02   1.5120E+04   1.3520E+00   2.7043E+04
   2.8000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.3602E+00   2.7208E+04
   2.8500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.3681E+00   2.7365E+04
   2.9000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.3762E+00   2.7528E+04
   2.9500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.3846E+00   2.7695E+04
   3.0000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.3931E+00   2.7865E+04
   3.0500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4017E+00   2.8038E+04
   3.1000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4105E+00   2.8213E+04
   3.1500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4193E+00   2.8390E+04
   3.2000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4283E+00   2.8570E+04
   3.2500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4374E+00   2.8751E+04
   3.3000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4466E+00   2.8935E+04
   3.3500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4558E+00   2.9120E+04
   3.4000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4652E+00   2.9307E+04
   3.4500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4746E+00   2.9496E+04
   3.5000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4841E+00   2.9687E+04
   3.5500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.4937E+00   2.9879E+04
   3.6000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.5034E+00   3.0073E+04
   3.6500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.5132E+00   3.0268E+04
   3.7000E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.5231E+00   3.0466E+04
   3.7500E-07   8.0000E+01   3.0000E+02   1.5141E+04   1.5330E+00   3.0664E+04
   3.8000E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.5437E+00   3.0879E+04
   3.8500E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.5532E+00   3.1068E+04
   3.9000E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.5630E+00   3.1265E+04
   3.9500E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.5731E+00   3.1466E+04
   4.0000E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.5833E+00   3.1671E+04
   4.0500E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.5937E+00   3.1878E+04
   4.1000E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.6041E+00   3.2087E+04
   4.1500E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.6147E+00   3.2299E+04
   4.2000E-07   8.0000E+01   3.0000E+02   1.5163E+04   1.6253E+00   3.2511E+04
